titulo,url,resumo,data_publicacao,data_atualizacao,pagina,posicao,coletado_em
Integração TEC: mais de 37% dos órgãos e empresas não seguem regras da LGPD,https://g1.globo.com/mg/zona-da-mata/mg1-zona-da-mata/video/integracao-tec-mais-de-37-dos-orgaos-e-empresas-nao-seguem-regras-da-lgpd-14903650.ghtml,Falhas na proteção de dados podem facilitar golpes e outros crimes. Veja esse e outros destaques do quadro.,2026-08-26T13:27:11-03:00,2026-08-26T13:52:03-03:00,0,1,2026-09-17T20:47:13.441773-03:00
EmpregaTrans: capacitação gratuita para pessoas trans e travestis abre 30 vagas em Cuiabá; saiba como se inscrever,https://g1.globo.com/mt/mato-grosso/noticia/2026/09/15/empregatrans-capacitacao-gratuita-para-pessoas-trans-abre-30-vagas-em-cuiaba-saiba-como-se-inscrever.ghtml,"...a organização, os dados fornecidos na inscrição serão tratados de forma confidencial, conforme a Lei Geral de Proteção de Dados (LGPD...",2026-09-15T13:35:26.279000-03:00,2026-09-15T13:40:53.050000-03:00,0,3,2026-09-17T20:47:13.441773-03:00
Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda nova regra da Anac que está em vigor,https://g1.globo.com/turismo-e-viagem/noticia/2026/09/15/brigou-no-aviao-voce-podera-ficar-ate-um-ano-proibido-de-voar-entenda-nova-regra-da-anac-que-esta-em-vigor.ghtml,"...sobre a proteção dos dados pessoais dos passageiros para garantir o cumprimento da Lei Geral de Proteção de Dados, conhecida como LGPD... — ...À BBC, afirmou que ""haverá mudanças nos contratos de transporte aéreo e, caso necessário, ajustes devido à LGPD""...",2026-09-15T00:00:00.640000-03:00,2026-09-15T00:00:01.276000-03:00,0,4,2026-09-17T20:47:13.441773-03:00
Por que o Brasil multou o TikTok e suspendeu lives do Discord? Entenda a diferença entre os casos,https://g1.globo.com/tecnologia/noticia/2026/08/25/por-que-a-anpd-multou-o-tiktok-e-suspendeu-lives-do-discord-entenda-a-diferenca-entre-os-casos.ghtml,"...Mariia Berezovsky No caso envolvendo o TikTok, a ANPD afirmou ter identificado cinco infrações à Lei Geral de Proteção de Dados (LGPD... — ...não reflete as ações previstas nesse plano nem as medidas voluntariamente implementadas desde então, que garantem o cumprimento da LGPD...",2026-08-25T09:29:25.987000-03:00,2026-08-25T16:27:03.279000-03:00,0,5,2026-09-17T20:47:13.441773-03:00
Gilmar Mendes critica vazamento de conversas privadas de Vorcaro e ex-namorada e defende 'LGPD Penal',https://g1.globo.com/politica/noticia/2026/03/09/gilmar-mendes-critica-vazamento-de-conversas-privadas-de-vorcaro-e-ex-namorada-e-defende-lgpd-penal.ghtml,"...Defesa da LGPD Penal O ministro também reforçou a necessidade urgente de aprovação da Lei Geral de Proteção de Dados aplicada ao âmbito... — ...penal (LGPD Penal), em discussão no Congresso...",2026-03-09T16:04:08.099000-03:00,2026-03-09T16:04:08.578000-03:00,0,7,2026-09-17T20:47:13.441773-03:00
Carteirinha do Passe Livre causa dúvidas com nova exigência de documento da LGPD,https://g1.globo.com/mg/triangulo-mineiro/mg1-uberlandia/video/carteirinha-do-passe-livre-causa-duvidas-com-nova-exigencia-de-documento-da-lgpd-14312548.ghtml,"Volta às aulas provoca aumento na procura pelo serviço, que registrou filas e estudantes sem entender a documentação necessária.",2026-02-03T13:37:59-03:00,2026-02-03T13:40:26-03:00,0,9,2026-09-17T20:47:13.441773-03:00
Santarém lança canal digital para denúncias e reclamações sobre o SUS,https://g1.globo.com/pa/santarem-regiao/noticia/2026/09/04/santarem-lanca-canal-digital-para-denuncias-e-reclamacoes-sobre-o-sus.ghtml,...A ferramenta foi desenvolvida seguindo as normas da Lei Geral de Proteção de Dados (LGPD) e passou pela avaliação da Comissão de Denúncias...,2026-09-04T17:33:29.771000-03:00,2026-09-04T17:33:30.561000-03:00,0,10,2026-09-17T20:47:13.441773-03:00
TikTok leva multa inédita no Brasil: o que causou a decisão? E o que muda? Veja perguntas e respostas,https://g1.globo.com/tecnologia/noticia/2026/08/26/tiktok-leva-multa-inedita-no-brasil-o-que-causou-a-decisao-e-o-que-muda-veja-perguntas-e-respostas.ghtml,...g1 O órgão concluiu que o TikTok tratou indevidamente dados de menores de idade em desacordo com a Lei Geral de Proteção de Dados (LGPD... — ...O TikTok afirmou ao g1 que a multa se refere a um período anterior ao seu enquadramento à LGPD e que seguirá dialogando com a agência...,2026-08-26T00:00:46.119000-03:00,2026-08-26T10:17:40.549000-03:00,1,1,2026-09-17T20:47:13.441773-03:00
Governo lança medidas para padronizar uso de biometria em portos e aeroportos,https://g1.globo.com/economia/noticia/2026/08/31/governo-quer-padronizar-uso-de-biometria-em-portos-e-aeroportos.ghtml,"...O processo será guiado pela Lei Geral de Proteção de Dados (LGPD), garantiu o ministério, e será supervisionado pela Autoridade Nacional...",2026-08-31T14:30:11.675000-03:00,2026-08-31T19:52:12.712000-03:00,1,2,2026-09-17T20:47:13.441773-03:00
Prefeitura suspende aplicativo de Zona Azul após vazamento de dados de clientes em Poços de Caldas,https://g1.globo.com/mg/sul-de-minas/noticia/2026/07/14/prefeitura-suspende-aplicativo-de-zona-azul-apos-vazamento-de-dados-de-clientes-em-pocos-de-caldas.ghtml,"...Procon instaurou procedimento administrativo para investigar o incidente, verificar o cumprimento da Lei Geral de Proteção de Dados (LGPD...",2026-07-14T12:29:51.694000-03:00,2026-07-14T15:14:28.533000-03:00,1,4,2026-09-17T20:47:13.441773-03:00
Homem-Aranha na BMW abre discussão: montadoras podem colocar propaganda na tela do carro?,https://g1.globo.com/carros/noticia/2026/08/20/propaganda-na-tela-do-carro.ghtml,"...Contrato, LGPD e Código de Defesa do Consumidor precisam caminhar juntos”, diz o advogado... — ...O Procon-SP também destaca as regras da LGPD sobre consentimento...",2026-08-20T03:00:47.972000-03:00,2026-08-20T03:00:48.715000-03:00,1,5,2026-09-17T20:47:13.441773-03:00
"ANPD multa TikTok em R$ 153,7 milhões por falhas na proteção de menores",https://g1.globo.com/tecnologia/noticia/2026/08/25/anpd-multa-tiktok-por-falhas-na-protecao-de-menores.ghtml,"...Segundo a ANPD, foram identificadas cinco violações à Lei Geral de Proteção de Dados (LGPD) em duas formas de acesso ao TikTok: o ""... — ...não reflete as ações previstas nesse plano nem as medidas voluntariamente implementadas desde então, que garantem o cumprimento da LGPD...",2026-08-25T07:04:00.869000-03:00,2026-08-25T21:01:26.464000-03:00,1,6,2026-09-17T20:47:13.441773-03:00
"Vazamento de dados de mais de 600 pessoas com HIV na BA viola Constituição, LGPD e outras",https://g1.globo.com/ba/bahia/videos-jornal-da-manha/video/vazamento-de-dados-de-mais-de-600-pessoas-com-hiv-na-ba-viola-constituicao-lgpd-e-outras-13952279.ghtml,Código de Ética Médica e as normas do Sistema Único de Saúde (SUS) também foram violadas após a Prefeitura de Feira de Santana divulgar os dados sigilosos.,2025-09-23T06:00:00-03:00,2025-09-23T07:26:17-03:00,1,7,2026-09-17T20:47:13.441773-03:00
LGPD determina regras aos órgãos públicos para protegerem dados dos cidadãos,https://g1.globo.com/to/tocantins/videos-bom-dia-tocantins/video/lgpd-determina-regras-aos-orgaos-publicos-para-protegerem-dados-dos-cidadaos-14030200.ghtml,...LGPD determina regras aos órgãos públicos para protegerem dados dos cidadãos...,2025-10-21T08:24:57-03:00,2025-10-21T12:46:30-03:00,1,8,2026-09-17T20:47:13.441773-03:00
Cadastro de agressores e campanha contra abuso infantil: conheça novas leis sancionadas em Cuiabá,https://g1.globo.com/mt/mato-grosso/noticia/2026/08/26/cadastro-de-agressores-e-campanha-contra-abuso-infantil-conheca-novas-leis-de-cuiaba.ghtml,"...A coleta, o armazenamento e o uso dessas informações deverão seguir a Lei Geral de Proteção de Dados (LGPD) e outras regras relacionadas...",2026-08-26T13:32:58.691000-03:00,2026-08-26T13:40:16.890000-03:00,1,9,2026-09-17T20:47:13.441773-03:00
Homem é preso suspeito de agredir a irmã em Itatiba,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/08/20/homem-e-preso-suspeito-de-agredir-a-irma-em-itatiba.ghtml,"...A Santa Casa não informou o estado de saúde da paciente, alegando restrições da Lei Geral de Proteção de Dados (LGPD)...",2026-08-20T17:30:38.110000-03:00,2026-08-20T20:17:40.066000-03:00,1,10,2026-09-17T20:47:13.441773-03:00
"Vazamento de dados de mais de 600 pessoas com HIV na BA viola Constituição, LGPD e outras normas",https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2025/09/23/vazamento-de-dados-de-pessoas-com-hiv-na-ba-viola-leis-e-normas.ghtml,"...Vazamento de dados de mais de 600 pessoas com HIV na BA viola Constituição, LGPD e outras O vazamento dos nomes e dados de mais de... — ...Feira de Santana viola ao menos quatro direitos fundamentais da Constituição Brasileira, a Lei Geral de Proteção de Dados Pessoais (LGPD...",2025-09-23T04:00:48.378000-03:00,2025-09-23T10:15:17.806000-03:00,2,1,2026-09-17T20:47:13.441773-03:00
"Delegada Vilma Alves segue internada após sofrer infarto em Teresina: 'lutando pela vida', diz filha",https://g1.globo.com/pi/piaui/noticia/2026/08/21/delegada-teresina-filha.ghtml,"...privacidade da paciente, ao sigilo das informações de saúde, ao Código de Ética Médica e à Lei Geral de Proteção de Dados Pessoais (LGPD...",2026-08-21T11:10:59.824000-03:00,2026-08-23T09:09:55.559000-03:00,2,2,2026-09-17T20:47:13.441773-03:00
Câmera escondida no banheiro do trabalho: o que diz a lei e como denunciar,https://g1.globo.com/trabalho-e-carreira/noticia/2026/09/05/camera-escondida-no-banheiro-do-trabalho-o-que-diz-a-lei-e-como-denunciar.ghtml,"...trabalhistas, o monitoramento envolve o tratamento de dados pessoais e, portanto, deve seguir as regras da Lei Geral de Proteção de Dados (LGPD...",2026-09-05T03:00:00.395000-03:00,2026-09-06T07:09:21.522000-03:00,2,3,2026-09-17T20:47:13.441773-03:00
Entidades acionam MPF contra óculos inteligentes da Meta por riscos à privacidade e aos consumidores,https://g1.globo.com/tecnologia/noticia/2026/08/21/entidades-acionam-mpf-contra-oculos-inteligentes-da-meta-por-riscos-a-privacidade-e-aos-consumidores.ghtml,...As entidades alegam que o produto pode colocar em risco a privacidade das pessoas e violar a Lei Geral de Proteção de Dados (LGPD)... — ...produto para consumidores e terceiros; a criação de mecanismos para que pessoas filmadas possam exercer seus direitos previstos na LGPD...,2026-08-21T10:40:17.299000-03:00,2026-08-21T10:50:19.593000-03:00,2,4,2026-09-17T20:47:13.441773-03:00
Pastor-belga que atacou veterinária no Senado é retirado das atividades e passará por exames,https://g1.globo.com/df/distrito-federal/noticia/2026/08/19/pastor-belga-que-atacou-veterinaria-no-senado-e-retirado-das-atividades-e-passara-por-exames.ghtml,"...Essa conduta observa as normas do Conselho Federal de Medicina (CFM), o Código de Ética Médica e a Lei Geral de Proteção de Dados (LGPD... — ...Senado Federal ressalta que a divulgação de informações clínicas está sujeita ao sigilo médico e à Lei Geral de Proteção de Dados (LGPD...",2026-08-19T00:00:42.302000-03:00,2026-08-19T00:00:42.953000-03:00,2,5,2026-09-17T20:47:13.441773-03:00
"Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda, em cinco pontos, a nova regra da Anac",https://g1.globo.com/turismo-e-viagem/noticia/2026/08/20/brigou-no-aviao-voce-podera-ficar-ate-um-ano-proibido-de-voar-entenda-em-cinco-pontos-a-nova-regra-da-anac.ghtml,"...Contratos de transporte deverão ser alterados em razão da Lei Geral de Proteção de Dados (LGPD) Renato Pajuelo/AFP via Getty Images... — ...À BBC, afirmou que ""haverá mudanças nos contratos de transporte aéreo e, caso necessário, ajustes devido à LGPD""...",2026-08-20T07:28:41.296000-03:00,2026-08-20T07:38:32.283000-03:00,2,6,2026-09-17T20:47:13.441773-03:00
Motorista de caminhonete persegue e esfaqueia motoboy em pizzaria no PR após briga de trânsito e é encontrado com ajuda de IA,https://g1.globo.com/pr/campos-gerais-sul/noticia/2026/08/21/motorista-de-caminhonete-persegue-e-esfaqueia-motoboy-em-pizzaria-no-pr-apos-briga-de-transito-e-e-encontrado-com-ajuda-de-ia.ghtml,"...Superintendência-Geral de Governança de Serviços e Dados (SGGSD), com operação em conformidade com a Lei Geral de Proteção de Dados Pessoais (LGPD...",2026-08-21T11:51:24.958000-03:00,2026-08-21T11:51:44.315000-03:00,2,7,2026-09-17T20:47:13.441773-03:00
"Latam diz que falha de segurança expôs nome, endereço e parte do cartão de crédito de clientes",https://g1.globo.com/tecnologia/noticia/2026/08/19/latam-incidente-seguranca-dados.ghtml,"...Em respeito aos clientes e em cumprimento à Lei Geral de Proteção de Dados (LGPD) e a legislação aplicável, a companhia comunicou o...",2026-08-19T18:26:49.283000-03:00,2026-08-20T10:25:38.510000-03:00,2,9,2026-09-17T20:47:13.441773-03:00
"Plano de governo: Du Pereira promete painel público, escritório estadual de projetos e diagnóstico das rodovias",https://g1.globo.com/to/tocantins/eleicoes/2026/noticia/2026/09/03/plano-de-governo-du-pereira-promete-painel-publico-escritorio-estadual-de-projetos-e-diagnostico-das-rodovias.ghtml,"...e Inteligência Artificial, garantindo o uso ético da tecnologia para serviços públicos com supervisão humana e conformidade com a LGPD...",2026-09-03T06:01:16.905000-03:00,2026-09-03T06:01:20.134000-03:00,2,10,2026-09-17T20:47:13.441773-03:00
Saiba como evitar ligações abusivas: Procon de Taubaté orienta consumidores,https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2026/08/18/saiba-como-evitar-ligacoes-abusivas-procon-de-taubate-orienta-consumidores.ghtml,...O telefone é considerado um dado pessoal protegido pela Lei Geral de Proteção de Dados (LGPD)...,2026-08-18T13:23:44.721000-03:00,2026-08-18T13:23:57.778000-03:00,3,1,2026-09-17T20:47:13.441773-03:00
Vazamento de dados na Latam: entenda o que foi exposto e como se proteger,https://g1.globo.com/tecnologia/noticia/2026/08/20/vazamento-de-dados-na-latam-entenda-o-que-foi-exposto-e-como-se-proteger.ghtml,"...Em respeito aos clientes e em cumprimento à Lei Geral de Proteção de Dados (LGPD) e a legislação aplicável, a companhia comunicou o...",2026-08-20T00:00:34.015000-03:00,2026-08-20T10:20:17.717000-03:00,3,3,2026-09-17T20:47:13.441773-03:00
"Criança de 10 anos ferida após deslizamento de terra onde a mãe morreu segue na UTI, em SC",https://g1.globo.com/sc/santa-catarina/noticia/2026/08/17/crianca-10-anos-ferida-deslizamento-onde-mae-morreu-segue-na-uti.ghtml,"...A Secretaria de Estado da Saúde de Santa Catarina (SES/SC) segue a Lei Geral de Proteção de Dados (LGPD), Lei nº 13.709/2018, que protege...",2026-08-17T09:48:45.303000-03:00,2026-08-17T10:24:19.048000-03:00,3,5,2026-09-17T20:47:13.441773-03:00
Transtorno: Homem engole munição e precisa ser operado no interior de MS,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2026/08/13/homem-engole-municao-e-passa-por-cirurgia-em-ms.ghtml,"...estado de saúde do homem, mas a unidade informou que não poderia divulgar detalhes em respeito à Lei Geral de Proteção de Dados (LGPD...",2026-08-13T11:31:52.826000-03:00,2026-08-13T17:17:17.339000-03:00,3,6,2026-09-17T20:47:13.441773-03:00
ECA Digital encorpou fiscalização da ANPD sobre redes sociais e proteção de crianças,https://g1.globo.com/politica/blog/julia-duailibi/post/2026/08/13/eca-digital-encorpou-fiscalizacao-da-anpd-sobre-redes-sociais-e-protecao-de-criancas.ghtml,"...Nacional de Proteção de Dados (ANPD), criada originalmente em 2020 para fiscalizar a aplicação da Lei Geral de Proteção de Dados (LGPD...",2026-08-13T08:19:15.930000-03:00,2026-08-13T08:20:36.213000-03:00,3,8,2026-09-17T20:47:13.441773-03:00
MP investiga exposição de dados pessoais de mais de 290 pacientes na Bahia; lista inclui registros de exames de HIV e hepatite,https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2026/08/19/mp-investiga-possivel-exposicao-de-dados-pessoais-e-de-saude-de-pacientes-em-santo-estevao.ghtml,"...unidades públicas de saúde na Bahia e outros estados Vazamento de dados de mais de 600 pessoas com HIV na BA viola Constituição, LGPD...",2026-08-19T15:36:51.337000-03:00,2026-08-19T15:38:54.476000-03:00,3,9,2026-09-17T20:47:13.441773-03:00
Veterinária atacada por pastor-belga do Senado no centro de Brasília passa por cirurgia,https://g1.globo.com/df/distrito-federal/noticia/2026/08/18/veterinaria-atacada-por-pastor-belga-do-senado-no-centro-de-brasilia-passa-por-cirurgia-estado-e-grave.ghtml,"...Essa conduta observa as normas do Conselho Federal de Medicina (CFM), o Código de Ética Médica e a Lei Geral de Proteção de Dados (LGPD...",2026-08-18T15:30:57.944000-03:00,2026-08-18T19:06:17.465000-03:00,3,10,2026-09-17T20:47:13.441773-03:00
Dia do Consumidor: LGPD protege o cidadão com relação às informações pessoais,https://g1.globo.com/pi/piaui/videos-pitv-1-edicao/video/dia-do-consumidor-lgpd-protege-o-cidadao-com-relacao-as-informacoes-pessoais-13428189.ghtml,...Dia do Consumidor: LGPD protege o cidadão com relação às informações pessoais...,2025-03-15T13:10:53-03:00,2025-03-15T13:32:06-03:00,4,1,2026-09-17T20:47:13.441773-03:00
UFR expulsa estudante de engenharia após caso de capacitismo contra colega com deficiência,https://g1.globo.com/mt/mato-grosso/noticia/2026/08/11/ufr-desliga-estudante-apos-apuracao-de-caso-de-capacitismo-contra-colega-com-deficiencia-em-mt.ghtml,"...Segundo a UFR, a decisão segue a Lei Geral de Proteção de Dados Pessoais (LGPD), que estabelece regras para o tratamento de informações...",2026-08-11T16:36:32.246000-03:00,2026-08-11T18:39:23.885000-03:00,4,2,2026-09-17T20:47:13.441773-03:00
Jovem de 15 anos morre após ir à UPA com dor de dente no DF; família denuncia negligência,https://g1.globo.com/df/distrito-federal/noticia/2026/08/19/jovem-de-15-anos-morre-apos-ir-a-upa-com-dor-de-dente-no-df-familia-denuncia-negligencia.ghtml,"...Essa conduta observa as normas do Conselho Federal de Medicina (CFM), o Código de Ética Médica e a Lei Geral de Proteção de Dados (LGPD...",2026-08-19T19:33:24.725000-03:00,2026-08-20T07:22:29.634000-03:00,4,4,2026-09-17T20:47:13.441773-03:00
"Enfermeira denuncia ter sido agredida em plantão no hospital de Samambaia, no DF",https://g1.globo.com/df/distrito-federal/noticia/2026/08/10/enfermeira-denuncia-ter-sido-agredida-durante-plantao-em-hospital-publico-em-samambaia-no-df.ghtml,"...das informações de saúde, assegurados pela Constituição Federal, pela Lei Geral de Proteção de Dados Pessoais (Lei nº 13.709/2018 – LGPD...",2026-08-10T16:03:55.853000-03:00,2026-08-10T18:58:18.868000-03:00,4,5,2026-09-17T20:47:13.441773-03:00
Estudantes de psicologia da Uniso denunciam negligência da gestão ao MEC e apontam crise institucional,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/08/11/curso-psicologia-uniso-denuncia-negligencia.ghtml,"...""Em respeito à Lei Geral de Proteção de Dados (LGPD), processos individuais de contratação ou desligamento de docentes não serão comentados...",2026-08-11T15:31:19.933000-03:00,2026-08-11T15:48:01.799000-03:00,4,6,2026-09-17T20:47:13.441773-03:00
"Em programa de governo, Ivan Moraes promete tarifa zero, renda básica estadual, câmeras corporais na PM e comitê de cannabis medicinal",https://g1.globo.com/pe/pernambuco/eleicoes/2026/noticia/2026/09/05/plano-de-governo-de-ivan-moraes.ghtml,"...Ciência e tecnologia Neste eixo do programa de governo, o candidato do PSOL defende a plena execução da Lei Geral de Proteção de Dados (LGPD...",2026-09-05T00:00:00.766000-03:00,2026-09-05T00:00:01.746000-03:00,4,7,2026-09-17T20:47:13.441773-03:00
Câmara de Fortaleza aprova integração de câmeras do Estado e privadas à Guarda Municipal,https://g1.globo.com/ce/ceara/noticia/2026/08/06/camara-de-fortaleza-aprova-integracao-de-cameras-do-estado-e-privadas-a-guarda-municipal.ghtml,"...ainda estabelece regras para o tratamento e a proteção dos dados coletados, em conformidade com a Lei Geral de Proteção de Dados (LGPD...",2026-08-06T17:28:55.328000-03:00,2026-08-06T17:28:56.052000-03:00,4,8,2026-09-17T20:47:13.441773-03:00
Cantor sertanejo internado com leucemia e esposa conversam sobre manter a fé na recuperação: ‘Ser positivos diante dos riscos’,https://g1.globo.com/go/goias/noticia/2026/08/08/cantor-sertanejo-internado-com-leucemia-e-esposa-conversam-sobre-manter-a-fe-na-recuperacao-ser-positivos-diante-dos-riscos.ghtml,"...Em resposta, a unidade informou que não pode divulgar informações sobre pacientes em cumprimento à Lei Geral de Proteção de Dados (LGPD...",2026-08-08T21:39:02.096000-03:00,2026-08-08T21:39:02.811000-03:00,4,9,2026-09-17T20:47:13.441773-03:00
"Cantor sertanejo internado em Goiânia é diagnosticado com leucemia, diz assessoria",https://g1.globo.com/go/goias/noticia/2026/08/06/cantor-sertanejo-internado-em-goiania-e-diagnosticado-com-leucemia-diz-assessoria.ghtml,"...Em resposta, a unidade informou que não pode divulgar informações sobre pacientes em cumprimento à Lei Geral de Proteção de Dados (LGPD...",2026-08-06T21:49:50.105000-03:00,2026-08-06T22:00:14.757000-03:00,5,2,2026-09-17T20:47:13.441773-03:00
"Cantor sertanejo é internado após passar mal em Goiânia, e amigos buscam doação de sangue",https://g1.globo.com/go/goias/noticia/2026/08/06/cantor-sertanejo-e-internado-apos-passar-mal-em-goiania-e-amigos-buscam-doacao-de-sangue.ghtml,"...Em resposta, a unidade informou que não pode divulgar informações sobre pacientes em cumprimento à Lei Geral de Proteção de Dados (LGPD...",2026-08-06T07:25:37.842000-03:00,2026-08-07T11:22:55.895000-03:00,5,3,2026-09-17T20:47:13.441773-03:00
OAB Santos lança cartilha sobre LGPD e o uso da inteligência artificial nas eleições,https://g1.globo.com/sp/santos-regiao/noticia/2024/08/23/oab-santos-lanca-cartilha-sobre-lgpd-e-o-uso-da-inteligencia-artificial-nas-eleicoes.ghtml,"...Brasil (OAB), seção Santos, no litoral de São Paulo, lançou uma cartilha informativa sobre a Lei Geral de Proteção de Dados Pessoais (LGPD... — ...A Cartilha LGPD e Inteligência Artificial nas Eleições pode ser consultada ou baixada pelo site da OAB Santos...",2024-08-23T19:07:23.028000-03:00,2024-08-23T20:40:17.859000-03:00,5,4,2026-09-17T20:47:13.441773-03:00
Viih Tube e Eliezer encerram reality com empregados e pagarão R$ 350 mil por dano moral,https://g1.globo.com/trabalho-e-carreira/noticia/2026/07/29/viih-tube-e-eliezer-firmam-encerram-reality-com-empregados-e-pagarao-r-350-mil.ghtml,"...pelo uso da imagem, consentimento livre e informado do trabalhador e o cumprimento das regras da Lei Geral de Proteção de Dados (LGPD... — ...pelo uso da imagem, consentimento livre e informado do trabalhador e o cumprimento das regras da Lei Geral de Proteção de Dados (LGPD...",2026-07-29T12:23:16.458000-03:00,2026-07-29T17:59:36.629000-03:00,5,5,2026-09-17T20:47:13.441773-03:00
Oficina aborda de forma prática as diretrizes de LGPD em Santarém,https://g1.globo.com/pa/santarem-regiao/videos-jornal-tapajos-2-edicao/video/oficina-aborda-de-forma-pratica-as-diretrizes-de-lgpd-em-santarem-12763540.ghtml,Confira.,2024-07-16T09:10:52-03:00,2024-07-17T09:34:58-03:00,5,6,2026-09-17T20:47:13.441773-03:00
Tarifa Zero: confira passo a passo para recadastramento obrigatório em Uberlândia,https://g1.globo.com/mg/triangulo-mineiro/noticia/2026/08/03/tarifa-zero-confira-passo-a-passo-para-recadastramento-obrigatorio-em-uberlandia.ghtml,...preciso apresentar: Grade Horária Tarifa Zero 2026; Ficha de Cadastro Tarifa Zero 2026; Termo de Consentimento de Dados Pessoais (LGPD...,2026-08-03T00:01:19.698000-03:00,2026-08-03T00:01:20.276000-03:00,5,8,2026-09-17T20:47:13.441773-03:00
"Após seis anos de criação, apenas 36% das empresas se adequaram à LGPD",https://g1.globo.com/sp/bauru-marilia/videos-tem-noticias-1-edicao/video/apos-seis-anos-de-criacao-apenas-36-das-empresas-se-adequaram-a-lgpd-12826350.ghtml,"A Lei Geral de Proteção de Dados completa 6 anos nesta semana. Essa lei entrou em vigor com a promessa de manter em sigilo os dados pessoais dos brasileiros, mas, atualmente apenas 36% das empresas conseguiram se adequar totalmente a essa lei.",2024-08-15T12:45:00-03:00,2024-08-15T14:12:19-03:00,5,9,2026-09-17T20:47:13.441773-03:00
"Morador que denuncia descarte irregular de lixo pode ganhar até R$ 7,6 mil em cidade do interior de SP",https://g1.globo.com/sp/sao-carlos-regiao/noticia/2026/08/09/cidade-no-interior-de-sp-premia-denuncia-de-descarte-irregular-de-lixo-com-ate-20percent-da-multa.ghtml,"...A denúncia não pode ser anônima, mas o sigilo será mantido, em conformidade com a Lei Geral de Proteção de Dados (LGPD)...",2026-08-09T11:09:22.537000-03:00,2026-08-10T18:40:45.840000-03:00,5,10,2026-09-17T20:47:13.441773-03:00
Veja quem eram as vítimas de acidente entre caminhão e ônibus,https://g1.globo.com/go/goias/transito/noticia/2026/08/09/veja-quem-eram-as-vitimas-de-acidente-entre-caminhao-e-onibus.ghtml,"...Essa conduta observa as normas do Conselho Federal de Medicina (CFM), o Código de Ética Médica e a Lei Geral de Proteção de Dados (LGPD...",2026-08-09T18:41:59.319000-03:00,2026-08-09T18:47:48.204000-03:00,6,1,2026-09-17T20:47:13.441773-03:00
Reconhecimento facial é suspenso em escolas no Paraná,https://g1.globo.com/politica/blog/julia-duailibi/post/2026/08/06/anpd-suspende-reconhecimento-facial-alunos-escolas-parana.ghtml,"...“A conveniência fundamentada na praticidade não é capaz de sustentar a necessidade exigida” pela LGPD, afirma a nota...",2026-08-06T16:09:21.912000-03:00,2026-08-06T17:29:07.297000-03:00,6,2,2026-09-17T20:47:13.441773-03:00
