titulo,resumo,data_publicacao,url,pagina,coletado_em,posicao,eh_anuncio
Atibaia realiza 1º Encontro sobre Esclerose Múltipla e lança cadastro,"...Todas as respostas fornecidas serão tratadas de forma sigilosa, em conformidade com as disposições da Lei Geral de Proteção de Dados (LGPD...",há 6 horas,https://g1.globo.com/sp/vale-do-paraiba-regiao/especial-publicitario/prefeitura-de-atibaia/noticias-de-atibaia/noticia/2026/09/16/atibaia-realiza-1o-encontro-sobre-esclerose-multipla-e-lanca-cadastro.ghtml,0,2026-09-16T16:30:00-03:00,1,sim
Integração TEC: mais de 37% dos órgãos e empresas não seguem regras da LGPD,Falhas na proteção de dados podem facilitar golpes e outros crimes. Veja esse e outros destaques do quadro.,26/08/2026 13:52,https://g1.globo.com/mg/zona-da-mata/mg1-zona-da-mata/video/integracao-tec-mais-de-37-dos-orgaos-e-empresas-nao-seguem-regras-da-lgpd-14903650.ghtml,0,2026-09-16T16:30:00-03:00,2,nao
EmpregaTrans: capacitação gratuita para pessoas trans e travestis abre 30 vagas em Cuiabá; saiba como se inscrever,"...a organização, os dados fornecidos na inscrição serão tratados de forma confidencial, conforme a Lei Geral de Proteção de Dados (LGPD...",há 1 dia,https://g1.globo.com/mt/mato-grosso/noticia/2026/09/15/empregatrans-capacitacao-gratuita-para-pessoas-trans-abre-30-vagas-em-cuiaba-saiba-como-se-inscrever.ghtml,0,2026-09-16T16:30:00-03:00,3,nao
Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda nova regra da Anac que está em vigor,"...sobre a proteção dos dados pessoais dos passageiros para garantir o cumprimento da Lei Geral de Proteção de Dados, conhecida como LGPD... — ...À BBC, afirmou que ""haverá mudanças nos contratos de transporte aéreo e, caso necessário, ajustes devido à LGPD""...",há 1 dia,https://g1.globo.com/turismo-e-viagem/noticia/2026/09/15/brigou-no-aviao-voce-podera-ficar-ate-um-ano-proibido-de-voar-entenda-nova-regra-da-anac-que-esta-em-vigor.ghtml,0,2026-09-16T16:30:00-03:00,4,nao
Por que o Brasil multou o TikTok e suspendeu lives do Discord? Entenda a diferença entre os casos,"...Mariia Berezovsky No caso envolvendo o TikTok, a ANPD afirmou ter identificado cinco infrações à Lei Geral de Proteção de Dados (LGPD... — ...não reflete as ações previstas nesse plano nem as medidas voluntariamente implementadas desde então, que garantem o cumprimento da LGPD...",25/08/2026 16:27,https://g1.globo.com/tecnologia/noticia/2026/08/25/por-que-a-anpd-multou-o-tiktok-e-suspendeu-lives-do-discord-entenda-a-diferenca-entre-os-casos.ghtml,0,2026-09-16T16:30:00-03:00,5,nao
Novos médicos cooperados concluem curso de formação,"...Palestras Os novos cooperados tiveram acesso a palestras sobre código de conduta, a Lei Geral de Proteção de Dados Pessoais (LGPD)...",04/09/2026 18:18,https://g1.globo.com/pe/petrolina-regiao/especial-publicitario/unimed-vale-do-sao-francisco-o-cuidado-esta-em-tudo/noticia/2026/09/04/novos-medicos-cooperados-concluem-curso-de-formacao.ghtml,0,2026-09-16T16:30:00-03:00,6,sim
Como a comunicação digital transforma a experiência do consumidor,"...estatísticos e direcionamento das campanhas, dentro de uma proposta desenvolvida considerando os requisitos relacionados à privacidade e à LGPD...",09/09/2026 16:32,https://g1.globo.com/am/amazonas/especial-publicitario/amazon-copy/noticia/2026/09/08/como-a-comunicacao-digital-transforma-a-experiencia-do-consumidor.ghtml,0,2026-09-16T16:30:00-03:00,7,sim
Gilmar Mendes critica vazamento de conversas privadas de Vorcaro e ex-namorada e defende 'LGPD Penal',"...Defesa da LGPD Penal O ministro também reforçou a necessidade urgente de aprovação da Lei Geral de Proteção de Dados aplicada ao âmbito... — ...penal (LGPD Penal), em discussão no Congresso...",09/03/2026 16:04,https://g1.globo.com/politica/noticia/2026/03/09/gilmar-mendes-critica-vazamento-de-conversas-privadas-de-vorcaro-e-ex-namorada-e-defende-lgpd-penal.ghtml,0,2026-09-16T16:30:00-03:00,8,nao
Santarém lança canal digital para denúncias e reclamações sobre o SUS,...A ferramenta foi desenvolvida seguindo as normas da Lei Geral de Proteção de Dados (LGPD) e passou pela avaliação da Comissão de Denúncias...,04/09/2026 17:33,https://g1.globo.com/pa/santarem-regiao/noticia/2026/09/04/santarem-lanca-canal-digital-para-denuncias-e-reclamacoes-sobre-o-sus.ghtml,0,2026-09-16T16:30:00-03:00,9,nao
Governo lança medidas para padronizar uso de biometria em portos e aeroportos,"...O processo será guiado pela Lei Geral de Proteção de Dados (LGPD), garantiu o ministério, e será supervisionado pela Autoridade Nacional...",31/08/2026 19:52,https://g1.globo.com/economia/noticia/2026/08/31/governo-quer-padronizar-uso-de-biometria-em-portos-e-aeroportos.ghtml,0,2026-09-16T16:30:00-03:00,10,nao
TikTok leva multa inédita no Brasil: o que causou a decisão? E o que muda? Veja perguntas e respostas,...g1 O órgão concluiu que o TikTok tratou indevidamente dados de menores de idade em desacordo com a Lei Geral de Proteção de Dados (LGPD... — ...O TikTok afirmou ao g1 que a multa se refere a um período anterior ao seu enquadramento à LGPD e que seguirá dialogando com a agência...,26/08/2026 10:17,https://g1.globo.com/tecnologia/noticia/2026/08/26/tiktok-leva-multa-inedita-no-brasil-o-que-causou-a-decisao-e-o-que-muda-veja-perguntas-e-respostas.ghtml,1,2026-09-16T16:30:00-03:00,1,nao
Carteirinha do Passe Livre causa dúvidas com nova exigência de documento da LGPD,"Volta às aulas provoca aumento na procura pelo serviço, que registrou filas e estudantes sem entender a documentação necessária.",03/02/2026 13:40,https://g1.globo.com/mg/triangulo-mineiro/mg1-uberlandia/video/carteirinha-do-passe-livre-causa-duvidas-com-nova-exigencia-de-documento-da-lgpd-14312548.ghtml,1,2026-09-16T16:30:00-03:00,2,nao
Prefeitura suspende aplicativo de Zona Azul após vazamento de dados de clientes em Poços de Caldas,"...Procon instaurou procedimento administrativo para investigar o incidente, verificar o cumprimento da Lei Geral de Proteção de Dados (LGPD...",14/07/2026 15:14,https://g1.globo.com/mg/sul-de-minas/noticia/2026/07/14/prefeitura-suspende-aplicativo-de-zona-azul-apos-vazamento-de-dados-de-clientes-em-pocos-de-caldas.ghtml,1,2026-09-16T16:30:00-03:00,3,nao
Fiança Locatícia e LGPD: como proteger dados em um processo tão sensível,"...A LGPD reforça que informações não devem ser mantidas por tempo indefinido sem necessidade... — ...Para as imobiliárias, a escolha de parceiros alinhados à LGPD é um fator estratégico...",17/11/2025 14:18,https://g1.globo.com/sp/campinas-regiao/especial-publicitario/liveb-bank-liveb-bank-fianca-locaticia/noticia/2025/11/17/fianca-locaticia-e-lgpd-como-proteger-dados-em-um-processo-tao-sensivel.ghtml,1,2026-09-16T16:30:00-03:00,4,sim
Homem-Aranha na BMW abre discussão: montadoras podem colocar propaganda na tela do carro?,"...Contrato, LGPD e Código de Defesa do Consumidor precisam caminhar juntos”, diz o advogado... — ...O Procon-SP também destaca as regras da LGPD sobre consentimento...",20/08/2026 03:00,https://g1.globo.com/carros/noticia/2026/08/20/propaganda-na-tela-do-carro.ghtml,1,2026-09-16T16:30:00-03:00,5,nao
"ANPD multa TikTok em R$ 153,7 milhões por falhas na proteção de menores","...Segundo a ANPD, foram identificadas cinco violações à Lei Geral de Proteção de Dados (LGPD) em duas formas de acesso ao TikTok: o ""... — ...não reflete as ações previstas nesse plano nem as medidas voluntariamente implementadas desde então, que garantem o cumprimento da LGPD...",25/08/2026 21:01,https://g1.globo.com/tecnologia/noticia/2026/08/25/anpd-multa-tiktok-por-falhas-na-protecao-de-menores.ghtml,1,2026-09-16T16:30:00-03:00,6,nao
